<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100311,000000,7413.0300000,7494.6100000,7360.1200000,7435.0800000,21424
20100312,000000,7429.5700000,7510.0400000,7414.1400000,7475.8700000,14710
20100314,000000,7458.2300000,7476.9700000,7367.8400000,7406.4200000,2132
20100315,000000,7406.4200000,7407.5200000,7253.2000000,7352.4100000,18110
20100316,000000,7352.4100000,7489.0900000,7336.9800000,7482.4800000,15694
20100317,000000,7486.8900000,7557.4400000,7479.1700000,7504.5300000,14769
20100318,000000,7505.6300000,7532.0800000,7441.6948100,7519.9600000,13609
20100319,000000,7521.0600000,7548.6200000,7400.9100000,7458.2300000,14128
20100321,000000,7445.0000000,7463.7400000,7387.6800000,7436.1800000,1103
20100322,000000,7439.4900000,7486.8900000,7298.3900000,7470.3500000,19161
20100323,000000,7471.4600000,7515.5500000,7403.1100000,7442.8000000,14828
20100324,000000,7441.6900000,7442.8000000,7320.4400000,7355.7100000,16144
20100325,000000,7355.7100000,7467.0500000,7338.0800000,7450.5100000,15592
20100326,000000,7451.6200000,7570.6700000,7450.5100000,7538.7000000,17567
20100328,000000,7521.0600000,7650.0300000,7521.0600000,7634.6000000,2701
20100329,000000,7633.5000000,7824.2000000,7627.9900000,7752.5500000,25660
20100330,000000,7753.6500000,7887.0300000,7736.0100000,7803.2500000,19382
20100331,000000,7803.2500000,7878.2100000,7763.5700000,7862.7800000,18882
20100401,000000,7863.8800000,7949.8600000,7853.9600000,7892.5400000,14530
20100404,000000,7900.2600000,7991.7500000,7882.6200000,7974.1100000,698
20100405,000000,7971.9100000,8016.0000000,7919.0000000,7954.2700000,8983
20100406,000000,7956.4700000,8021.5100000,7937.7300000,7996.1600000,14807
20100407,000000,7992.8500000,8013.7900000,7859.4700000,7894.7400000,18340
20100408,000000,7894.7400000,7934.4300000,7793.3300000,7925.6100000,13802
20100409,000000,7924.5100000,7988.4400000,7888.1300000,7912.3800000,11638
20100411,000000,7934.4300000,8113.0000000,7934.4300000,7999.4600000,2494
